,arc_i_j,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d,i_o,i_d
54,"(69,68)",Bucaramanga,La_Fortuna,42,0.33,Bucaramanga - La_Fortuna,7.119349,-73.122742,7.107706,-73.624878,69,68
127,"(56,62)",Medellin,Sta_Fe_A,61,0.33,Medellin - Sta_Fe_A,6.253041,-75.564574,6.52273,-75.823517,56,62
128,"(57,62)",Medellin,Sta_Fe_A,61,0.33,Medellin - Sta_Fe_A,6.253041,-75.564574,6.52273,-75.823517,57,62
116,"(57,52)",Medellin,Bolombolo,69,0.33,Medellin - Bolombolo,6.253041,-75.564574,6.00008,-75.81665,57,52
115,"(56,52)",Medellin,Bolombolo,69,0.33,Medellin - Bolombolo,6.253041,-75.564574,6.00008,-75.81665,56,52
114,"(38,36)",Mariquita,Manizales,125,0.33,Mariquita - Manizales,5.199505,-74.886835,5.070275,-75.513817,38,36
62,"(9,8)",Cali,Jamundi,19,0.33,Cali - Jamundi,3.451647,-76.531985,3.262084,-76.541073,9,8
140,"(70,60)",Pamplona,Tame,211,0.33,Pamplona - Tame,7.37823,-72.650337,6.457094,-71.745515,70,60
83,"(53,40)",Hato_Corozal,Yopal,131,0.33,Hato_Corozal - Yopal,6.129631,-71.773682,5.348903,-72.400523,53,40
104,"(12,9)",Loboguerrero,Cali,52,0.33,Loboguerrero - Cali,3.746412,-76.663971,3.451647,-76.531985,12,9
97,"(41,30)",La_Felisa,Cartago,124,0.33,La_Felisa - Cartago,5.45025,-75.649796,4.747221,-75.911629,41,30
111,"(36,33)",Manizales,Pereira,45,0.33,Manizales - Pereira,5.070275,-75.513817,4.808717,-75.690601,36,33
86,"(23,25)",Ibague,Armenia,80,0.33,Ibague - Armenia,4.444676,-75.242438,4.535,-75.675689,23,25
87,"(24,25)",Ibague,Armenia,80,0.33,Ibague - Armenia,4.444676,-75.242438,4.535,-75.675689,24,25
23,"(51,53)",Belen_Boy,Hato_Corozal,170,0.33,Belen_Boy - Hato_Corozal,5.9894,-72.910689,6.129631,-71.773682,51,53
50,"(28,17)",Bogota,Villavicencio,88,0.38,Bogota - Villavicencio,4.710989,-74.072092,4.151382,-73.63769,28,17
48,"(26,17)",Bogota,Villavicencio,88,0.38,Bogota - Villavicencio,4.710989,-74.072092,4.151382,-73.63769,26,17
149,"(63,49)",Pinchote,Barbosa_Boy,109,0.38,Pinchote - Barbosa_Boy,6.53247,-73.1727,5.934363,-73.615679,63,49
180,"(43,31)",Tunja,Agua_Clara_Casa,207,0.38,Tunja - Agua_Clara_Casa,5.544642,-73.357557,4.748982,-72.997709,43,31
164,"(64,63)",San_Gil,Pinchote,7,0.38,San_Gil - Pinchote,6.554824,-73.13412,6.53247,-73.1727,64,63
176,"(62,74)",Sta_Fe_A,Turbo,280,0.38,Sta_Fe_A - Turbo,6.52273,-75.823517,8.095159,-76.728456,62,74
3,"(37,31)",Aguazul,Agua_Clara_Casa,100,0.38,Aguazul - Agua_Clara_Casa,5.170847,-72.550819,4.748982,-72.997709,37,31
12,"(49,61)",Barbosa_Boy,Puerto_Araujo,133,0.38,Barbosa_Boy - Puerto_Araujo,5.934363,-73.615679,6.52273,-74.082355,49,61
49,"(27,17)",Bogota,Villavicencio,88,0.38,Bogota - Villavicencio,4.710989,-74.072092,4.151382,-73.63769,27,17
103,"(12,13)",Loboguerrero,Buenaventura,66,0.38,Loboguerrero - Buenaventura,3.746412,-76.663971,3.883047,-77.019721,12,13
51,"(52,46)",Bolombolo,Quibdo,120,0.44,Bolombolo - Quibdo,6.00008,-75.81665,5.695633,-76.649812,52,46
76,"(48,37)",Duitama,Aguazul,143,0.44,Duitama - Aguazul,5.826895,-73.032927,5.170847,-72.550819,48,37
